id,term,capa_propuesta,objetivo,semilla
CUR-001,gira,lunfardo_sin_homonimo,cand:gira,13
CUR-002,idear,control_negativo,ctrl:idear,13
CUR-003,chamuyo,lunfardo_sin_homonimo,cand:chamuyo,13
CUR-004,cerrar,control_negativo,ctrl:cerrar,13
CUR-005,botón,falso_amigo,cand:boton,13
CUR-006,burra,falso_amigo,cand:burra,13
CUR-007,gritar,control_negativo,ctrl:gritar,13
CUR-008,negro,falso_amigo,cand:negro,13
CUR-009,timba,falso_amigo,cand:timba,13
CUR-010,pedazo,polisemico_interno,cand:pedazo,13
CUR-011,viejo,falso_amigo,cand:viejo,13
CUR-012,cocinar,falso_amigo,cand:cocinar,13
CUR-013,pico,falso_amigo,cand:pico,13
CUR-014,cana,polisemico_interno,cand:cana,13
CUR-015,papa,falso_amigo,cand:papa,13
CUR-016,malevo,lunfardo_sin_homonimo,cand:malevo,13
CUR-017,gil,lunfardo_sin_homonimo,cand:gil,13
CUR-018,bailar,polisemico_interno,cand:bailar,13
CUR-019,pobre,control_negativo,ctrl:pobre,13
CUR-020,cotorro,falso_amigo,cand:cotorro,13
CUR-021,llenar,polisemico_interno,cand:llenar,13
CUR-022,ojo,falso_amigo,cand:ojo,13
CUR-023,pendejo,falso_amigo,cand:pendejo,13
CUR-024,rara,lunfardo_sin_homonimo,cand:rara,13
CUR-025,deje,lunfardo_sin_homonimo,cand:deje,13
CUR-026,viste,lunfardo_sin_homonimo,cand:viste,13
CUR-027,flor,falso_amigo,cand:flor,13
CUR-028,gorrión,lunfardo_sin_homonimo,cand:gorrion,13
CUR-029,jalar,falso_amigo,cand:jalar,13
CUR-030,tesoro,control_negativo,ctrl:tesoro,13
CUR-031,piel,falso_amigo,cand:piel,13
CUR-032,muerto,polisemico_interno,cand:muerto,13
CUR-033,birra,lunfardo_sin_homonimo,cand:birra,13
CUR-034,vento,lunfardo_sin_homonimo,cand:vento,13
CUR-035,clandestino,polisemico_interno,cand:clandestino,13
CUR-036,sonar,falso_amigo,cand:sonar,13
CUR-037,dormir,polisemico_interno,cand:dormir,13
CUR-038,taco,falso_amigo,cand:taco,13
CUR-039,boludo,falso_amigo,cand:boludo,13
CUR-040,mate,polisemico_interno,cand:mate,13
CUR-041,cargar,falso_amigo,cand:cargar,13
CUR-042,blanca,polisemico_interno,cand:blanca,13
CUR-043,raro,control_negativo,ctrl:raro,13
CUR-044,porteño,falso_amigo,cand:porteño,13
CUR-045,pinta,falso_amigo,cand:pinta,13
CUR-046,dormirse,lunfardo_sin_homonimo,cand:dormirse,13
CUR-047,logi,lunfardo_sin_homonimo,cand:logi,13
CUR-048,mama,falso_amigo,cand:mama,13
CUR-049,rajar,falso_amigo,cand:rajar,13
CUR-050,cien,control_negativo,ctrl:cien,13
CUR-051,boca,control_negativo,ctrl:boca,13
CUR-052,percanta,lunfardo_sin_homonimo,cand:percanta,13
CUR-053,paciencia,control_negativo,ctrl:paciencia,13
CUR-054,pelar,falso_amigo,cand:pelar,13
CUR-055,vacío,falso_amigo,cand:vacio,13
CUR-056,acá,falso_amigo,cand:aca,13
CUR-057,manzana,polisemico_interno,cand:manzana,13
CUR-058,fumar,polisemico_interno,cand:fumar,13
CUR-059,pintar,polisemico_interno,cand:pintar,13
CUR-060,cero,control_negativo,ctrl:cero,13
CUR-061,labio,control_negativo,ctrl:labio,13
CUR-062,rojo,falso_amigo,cand:rojo,13
CUR-063,trap,lunfardo_sin_homonimo,cand:trap,13
CUR-064,chorro,falso_amigo,cand:chorro,13
CUR-065,reír,control_negativo,ctrl:reir,13
CUR-066,quiebre,lunfardo_sin_homonimo,cand:quiebre,13
CUR-067,plato,polisemico_interno,cand:plato,13
CUR-068,quemar,falso_amigo,cand:quemar,13
CUR-069,ruido,control_negativo,ctrl:ruido,13
CUR-070,tristes,lunfardo_sin_homonimo,cand:tristes,13
CUR-071,catrera,lunfardo_sin_homonimo,cand:catrera,13
CUR-072,sal,falso_amigo,cand:sal,13
CUR-073,naranja,falso_amigo,cand:naranja,13
CUR-074,joder,falso_amigo,cand:joder,13
CUR-075,trucho,lunfardo_sin_homonimo,cand:trucho,13
CUR-076,duro,falso_amigo,cand:duro,13
CUR-077,guarda,falso_amigo,cand:guarda,13
CUR-078,gota,control_negativo,ctrl:gota,13
CUR-079,corte,falso_amigo,cand:corte,13
CUR-080,batir,falso_amigo,cand:batir,13
CUR-081,muñeca,polisemico_interno,cand:muñeca,13
CUR-082,ciego,falso_amigo,cand:ciego,13
CUR-083,novia,lunfardo_sin_homonimo,cand:novia,13
CUR-084,quebrar,falso_amigo,cand:quebrar,13
CUR-085,cristal,control_negativo,ctrl:cristal,13
CUR-086,gato,falso_amigo,cand:gato,13
CUR-087,compadrón,lunfardo_sin_homonimo,cand:compadron,13
CUR-088,colgar,falso_amigo,cand:colgar,13
CUR-089,verde,falso_amigo,cand:verde,13
CUR-090,atado,polisemico_interno,cand:atado,13
