stratum,song,artist_or_query,status,terms_matched
tango,Cambalache,Julio Sosa,ok,1
tango,"Yira, Yira",Carlos Gardel,ok,2
tango,Che Papusa Oí!,Julio Sosa,ok,2
tango,Mano A Mano,Carlos Gardel,ok,0
tango,Malevaje,Carlos Gardel,ok,0
tango,Garufa,Carlos Gardel,ok,2
tango,Esta Noche Me Emborracho,Carlos Gardel,ok,0
tango,Al Mundo Le Falta Un Tornillo,Julio Sosa,ok,0
tango,Sur,Anibal Troilo,ok,2
tango,El Bulín De La Calle Ayacucho,Anibal Troilo,ok,1
tango,Naranjo en Flor,Roberto Goyeneche,ok,1
tango,La Violeta,Carlos Gardel,ok,0
tango,Media Luz,Carlos Gardel,ok,0
tango,Tomo y obligo,Carlos Gardel,ok,0
tango,Volver,Carlos Gardel,ok,0
tango,Mi Buenos Aires querido,Carlos Gardel,ok,0
tango,Muñeca brava,Carlos Gardel,ok,0
tango,Cafetín de Buenos Aires,Edmundo Rivero,ok,0
tango,Uno,Ambjaay,ok,0
tango,Milonga Sentimental,Carlos Gardel,ok,0
tango,El Bulín De La Calle Ayacucho,Anibal Troilo,ok,0
tango,Lo que yo soñé (Final),Manuel Acosta,ok,0
tango,Sentimiento,Gabacho,ok,0
tango,Cambalache,Tita Merello,ok,0
tango,Muñeca brava,Carlos Gardel,ok,0
trap,Goteo,Duki,ok,0
trap,She Don’t Give a Fo,Duki,ok,1
trap,Hello Cotto,Duki,ok,2
trap,Adán y Eva,Paulo Londra,ok,1
trap,Nena Maldición,Paulo Londra,ok,0
trap,TIERRA ZANTA,Trueno,ok,2
trap,DANCE CRIP,Trueno,ok,0
trap,CANGURO,WOS,ok,0
trap,Sweet Willow,Averno,ok,0
trap,"Duki: Bzrp Music Sessions, Vol. 50/66",Bizarrap,ok,1
trap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,ok,0
trap,Wapo Traketero,NICKI NICOLE,ok,0
trap,Dolce,Cazzu,ok,0
trap,CUMBIA MAFIA 420,L-Gante,ok,1
trap,Loca,KHEA,ok,1
